Region	Kod Teryt	Kod BDR	Zadłużenie gmin	Jednostka	Okres
Warta Bolesławiecka	0201062	5020101062	0	%	2015
Rudna	0211032	5020211032	0	%	2015
Polkowice	0216043	5020216043	0	%	2015
Wielka Nieszawka	0415082	6040615082	0	%	2015
Koneck	0401062	6040801062	0	%	2015
Międzyrzec Podlaski-wieś	0601102	3060901102	0	%	2015
Ulan-Majorat	0615072	3060915072	0	%	2015
Siemień	0613062	3060913062	0	%	2015
Siennica Różana	0606102	3061006102	0	%	2015
Radecznica	0620082	3061020082	0	%	2015
Krynice	0618042	3061018042	0	%	2015
Garbów	0609042	3061109042	0	%	2015
Świdnik	0617011	3061117011	0	%	2015
Dzierzkowice	0607032	3061207032	0	%	2015
Ułęż	0616062	3061216062	0	%	2015
Żagań-wieś	0810092	4081410092	0	%	2015
Łęknica	0811011	4081411011	0	%	2015
Kleszczów	1001042	1101701042	0	%	2015
Ładzice	1012092	1101712092	0	%	2015
Masłowice	1012102	1101712102	0	%	2015
Bedlno	1002022	1101902022	0	%	2015
Grybów-wieś	1210042	2122210042	0	%	2015
Budzów	1215032	2122315032	0	%	2015
Słupno	1419122	1142519122	0	%	2015
Strzegowo	1413052	1142513052	0	%	2015
Stupsk	1413062	1142513062	0	%	2015
Szydłowo	1413082	1142513082	0	%	2015
Wiśniewo	1413102	1142513102	0	%	2015
Baboszewo	1420032	1142520032	0	%	2015
Szulborze Wielkie	1416092	1142616092	0	%	2015
Stara Kornica	1410062	1142610062	0	%	2015
Suchożebry	1426102	1142626102	0	%	2015
Rzeczniów	1409042	1142709042	0	%	2015
Trojanów	1403122	1142903122	0	%	2015
Jaśliska	1807102	3183307102	0	%	2015
Rokietnica	1804092	3183404092	0	%	2015
Majdan Królewski	1806032	3183506032	0	%	2015
Niebylec	1819032	3183519032	0	%	2015
Ulanów	1812073	3183612073	0	%	2015
Wizna	2007082	3203807082	0	%	2015
Kulesze Kościelne	2013062	3203813062	0	%	2015
Rutki	2014032	3203814032	0	%	2015
Zambrów-miasto	2014011	3203814011	0	%	2015
Zambrów-wieś	2014052	3203814052	0	%	2015
Rutka-Tartak	2012062	3203912062	0	%	2015
Krynica Morska	2210011	6224010011	0	%	2015
Sztutowo	2210052	6224010052	0	%	2015
Skórcz-wieś	2213102	6224213102	0	%	2015
Sztum	2216053	6224216053	0	%	2015
Gierałtowice	2405032	2244705032	0	%	2015
Gowarczów	2605022	3265205022	0	%	2015
Działoszyce	2608013	3265308013	0	%	2015
Łubnice	2612022	3265312022	0	%	2015
Sośnie	3017082	4305717082	0	%	2015
Kłecko	3003053	4305803053	0	%	2015
Pogorzela	3004063	4305904063	0	%	2015
Krzemieniewo	3013012	4305913012	0	%	2015
Obrzycko-wieś	3024042	4306124042	0	%	2015
Nowe Miasto nad Wartą	3025032	4306125032	0	%	2015
Wałcz-wieś	3217052	4326317052	0	%	2015
Świeszyno	3209082	4326309082	0	%	2015
Stepnica	3204073	4326604073	0	%	2015
Mielec-miasto	1811011	3183611011	0.0003	%	2015
Gorzkowice	1010032	1101710032	0.0007	%	2015
Puławy-wieś	0614092	3061214092	0.0029	%	2015
Zdzieszowice	1605053	5163205053	0.0114	%	2015
Wieczfnia Kościelna	1413092	1142513092	0.019	%	2015
Żarnowiec	2416102	2245016102	0.088	%	2015
Lelis	1415062	1142615062	0.1333	%	2015
Szczerców	1001072	1101701072	0.1437	%	2015
Świnna	2417132	2244417132	0.2377	%	2015
Kluki	1001052	1101701052	0.2438	%	2015
Grębocice	0216032	5020216032	0.2763	%	2015
Zembrzyce	1215092	2122315092	0.3445	%	2015
Żelazków	3007112	4305707112	0.4568	%	2015
Piaski	3004052	4305904052	0.4898	%	2015
Bukowina Tatrzańska	1217032	2122217032	0.5014	%	2015
Wilkołaz	0607092	3061207092	0.5654	%	2015
Abramów	0608022	3061108022	0.598	%	2015
Kamienica	1207052	2122207052	0.6449	%	2015
Sompolno	3010103	4305810103	0.6581	%	2015
Ostrowite	3023042	4305823042	0.7004	%	2015
Krasiczyn	1813042	3183413042	0.711	%	2015
Pyskowice	2405021	2244705021	0.7112	%	2015
Knurów	2405011	2244705011	0.756	%	2015
Bolesławiec-wieś	0201022	5020101022	0.7576	%	2015
Łukowica	1207082	2122207082	0.7729	%	2015
Kobylin-Borzymy	2013052	3203813052	0.8313	%	2015
Wilczyn	3010142	4305810142	0.8524	%	2015
Linia	2215062	6224015062	0.9384	%	2015
Godkowo	2804022	6285404022	0.9624	%	2015
Wohyń	0615082	3060915082	0.9882	%	2015
Osięciny	0411042	6040811042	1.0564	%	2015
Papowo Biskupie	0404052	6040704052	1.0574	%	2015
Czyżew-Osada	2013032	3203813032	1.0602	%	2015
Baranowo	1415012	1142615012	1.0862	%	2015
Naruszewo	1420072	1142520072	1.1256	%	2015
Chrostkowo	0408032	6040808032	1.1421	%	2015
Skoroszyce	1607092	5163107092	1.1483	%	2015
Krzyżanowice	2411042	2244911042	1.1683	%	2015
Aleksandrów	0602022	3061002022	1.1735	%	2015
Koniusza	1214012	2122014012	1.2237	%	2015
Doruchów	3018022	4305718022	1.2249	%	2015
Domanice	1426012	1142626012	1.2258	%	2015
Rudziniec	2405052	2244705052	1.2467	%	2015
Raciąż-wieś	1420102	1142520102	1.2998	%	2015
Rypin-wieś	0412042	6040812042	1.3247	%	2015
Rudnik	0606092	3061006092	1.3356	%	2015
Sobienie-Jeziory	1417072	1142917072	1.3592	%	2015
Kościerzyna-wieś	2206042	6224206042	1.402	%	2015
Telatyn	0618102	3061018102	1.4497	%	2015
Jarocin	1812022	3183612022	1.4508	%	2015
